"PROBEID","SYMBOL","GENENAME"
"1552386_at","GAPT","GRB2 binding adaptor protein, transmembrane"
"1552388_at","SCUBE1","signal peptide, CUB domain and EGF like domain containing 1"
"1552389_at","ERICH5","glutamate rich 5"
"1552391_at","CCDC185","coiled-coil domain containing 185"
"1552393_at","ENTHD1","ENTH domain containing 1"
"1552395_at","TSSK3","testis specific serine kinase 3"
"1552396_at","WFDC6","WAP four-disulfide core domain 6"
"1552398_a_at","CLEC12A","C-type lectin domain family 12 member A"
"1552399_a_at","BRF1","BRF1 RNA polymerase III transcription initiation factor subunit"
"1552400_a_at","TMEM266","transmembrane protein 266"
"1552401_a_at","BACH1","BTB domain and CNC homolog 1"
"1552401_a_at","GRIK1-AS2","GRIK1 antisense RNA 2"
"1552402_at","CALML6","calmodulin like 6"
"1552405_at","NLRP5","NLR family pyrin domain containing 5"
"1552408_at","ODF4","outer dense fiber of sperm tails 4"
"1552410_at","CLEC4F","C-type lectin domain family 4 member F"
"1552411_at","DEFB106A","defensin beta 106A"
"1552411_at","DEFB106B","defensin beta 106B"
"1552414_at","WFDC9","WAP four-disulfide core domain 9"
"1552417_a_at","NEDD1","NEDD1 gamma-tubulin ring complex targeting factor"
"1552418_at","TTLL10","tubulin tyrosine ligase like 10"
"1552421_a_at","CALR3","calreticulin 3"
"1552422_at","ZNF22-AS1","ZNF22 antisense RNA 1"
"1552423_at","ETV3","ETS variant transcription factor 3"
"1552424_at","KLHL10","kelch like family member 10"
"1552426_a_at","TM2D3","TM2 domain containing 3"
"1552427_at","ZNF485","zinc finger protein 485"
"1552430_at","WDR17","WD repeat domain 17"
"1552432_at","MFSD6L","major facilitator superfamily domain containing 6 like"
"1552436_a_at","CDH23","cadherin related 23"
"1552438_a_at","ANKAR","ankyrin and armadillo repeat containing"
"1552439_s_at","MEGF11","multiple EGF like domains 11"
"1552440_at","GPR182","G protein-coupled receptor 182"
"1552445_a_at","ESX1","ESX homeobox 1"
"1552448_a_at","FAM167A-AS1","FAM167A antisense RNA 1"
"1552449_a_at","SCGB1C1","secretoglobin family 1C member 1"
"1552449_a_at","SCGB1C2","secretoglobin family 1C member 2"
"1552450_a_at","DNAJC5G","DnaJ heat shock protein family (Hsp40) member C5 gamma"
"1552452_at","WDR88","WD repeat domain 88"
"1552455_at","PRUNE2","prune homolog 2 with BCH domain"
"1552456_a_at","MBD3L2","methyl-CpG binding domain protein 3 like 2"
"1552457_a_at","ADAMTSL1","ADAMTS like 1"
"1552458_at","MBD3L1","methyl-CpG binding domain protein 3 like 1"
"1552461_at","TENT5D","terminal nucleotidyltransferase 5D"
"1552463_at","SERPINB11","serpin family B member 11"
"1552466_x_at","LINC00161","long intergenic non-protein coding RNA 161"
"1552467_at","DSCR10","Down syndrome critical region 10"
"1552470_a_at","ABHD11","abhydrolase domain containing 11"
"1552472_a_at","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"1552473_at","GAMT","guanidinoacetate N-methyltransferase"
"1552476_s_at","PLCD3","phospholipase C delta 3"
"1552477_a_at","IRF6","interferon regulatory factor 6"
"1552480_s_at","PTPRC","protein tyrosine phosphatase receptor type C"
"1552481_s_at","MAN1A2","mannosidase alpha class 1A member 2"
"1552482_at","RAPH1","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"1552484_at","SMCR8","SMCR8-C9orf72 complex subunit"
"1552485_at","LACTB","lactamase beta"
"1552487_a_at","BNC1","basonuclin zinc finger protein 1"
"1552489_s_at","MPP4","MAGUK p55 scaffold protein 4"
"1552490_at","AFG1L","AFG1 like ATPase"
"1552491_at","IDI2","isopentenyl-diphosphate delta isomerase 2"
"1552493_s_at","CYP11B1","cytochrome P450 family 11 subfamily B member 1"
"1552494_at","TAF8","TATA-box binding protein associated factor 8"
"1552496_a_at","COBL","cordon-bleu WH2 repeat protein"
"1552497_a_at","SLAMF6","SLAM family member 6"
"1552498_at","ZSCAN20","zinc finger and SCAN domain containing 20"
"1552501_a_at","GPBAR1","G protein-coupled bile acid receptor 1"
"1552502_s_at","RHBDL2","rhomboid like 2"
"1552503_at","FRAS1","Fraser extracellular matrix complex subunit 1"
"1552504_a_at","BRSK1","BR serine/threonine kinase 1"
"1552506_at","CRB2","crumbs cell polarity complex component 2"
"1552507_at","KCNE4","potassium voltage-gated channel subfamily E regulatory subunit 4"
"1552509_a_at","CD300LG","CD300 molecule like family member g"
"1552510_at","SLC34A3","solute carrier family 34 member 3"
"1552511_a_at","CPA6","carboxypeptidase A6"
"1552514_at","WBP2NL","WBP2 N-terminal like"
"1552515_at","HIPK1","homeodomain interacting protein kinase 1"
"1552518_s_at","MTBP","MDM2 binding protein"
"1552519_at","ACVR1C","activin A receptor type 1C"
"1552520_at","TMEM74","transmembrane protein 74"
"1552522_at","TIGD4","tigger transposable element derived 4"
"1552524_at","ART5","ADP-ribosyltransferase 5"
"1552526_at","GARIN6","golgi associated RAB2 interactor family member 6"
"1552528_at","LINC01547","long intergenic non-protein coding RNA 1547"
"1552531_a_at","NLRP11","NLR family pyrin domain containing 11"
"1552532_a_at","ATP6V1C2","ATPase H+ transporting V1 subunit C2"
"1552535_at","CLDN19","claudin 19"
"1552536_at","VTI1A","vesicle transport through interaction with t-SNAREs 1A"
"1552538_a_at","KIF6","kinesin family member 6"
"1552540_s_at","IQCD","IQ motif containing D"
"1552541_at","TAGAP","T cell activation RhoGTPase activating protein"
"1552543_a_at","STON2","stonin 2"
"1552544_at","SERPINA12","serpin family A member 12"
"1552546_a_at","LETM2","leucine zipper and EF-hand containing transmembrane protein 2"
"1552548_at","BSND","barttin CLCNK type accessory subunit beta"
"1552552_s_at","CLEC4C","C-type lectin domain family 4 member C"
"1552553_a_at","NLRC4","NLR family CARD domain containing 4"
"1552555_at","PRSS36","serine protease 36"
"1552557_a_at","ZDHHC15","zinc finger DHHC-type palmitoyltransferase 15"
"1552558_a_at","RAI1","retinoic acid induced 1"
"1552559_a_at","CDK15","cyclin dependent kinase 15"
"1552562_at","ZNF570","zinc finger protein 570"
"1552564_at","NUDT9P1","nudix hydrolase 9 pseudogene 1"
"1552566_at","BTBD16","BTB domain containing 16"
"1552568_at","RTP3","receptor transporter protein 3"
"1552570_at","TSPEAR","thrombospondin type laminin G domain and EAR repeats"
"1552572_a_at","MIPOL1","mirror-image polydactyly 1"
"1552575_a_at","C6orf141","chromosome 6 open reading frame 141"
"1552576_at","ALMS1P1","ALMS1 pseudogene 1"
"1552578_a_at","MYO3B","myosin IIIB"
"1552579_a_at","ADAM21","ADAM metallopeptidase domain 21"
"1552580_at","TRIML2","tripartite motif family like 2"
"1552582_at","ABCC13","ATP binding cassette subfamily C member 13 (pseudogene)"
"1552584_at","IL12RB1","interleukin 12 receptor subunit beta 1"
"1552585_s_at","GTF2A1L","general transcription factor IIA subunit 1 like"
"1552586_at","TRPV3","transient receptor potential cation channel subfamily V member 3"
"1552587_at","CNBD1","cyclic nucleotide binding domain containing 1"
"1552590_a_at","ABCC12","ATP binding cassette subfamily C member 12"
"1552592_at","MMP21","matrix metallopeptidase 21"
"1552594_at","TMEM190","transmembrane protein 190"
"1552596_at","GAS2L2","growth arrest specific 2 like 2"
"1552598_at","KCNG4","potassium voltage-gated channel modifier subfamily G member 4"
"1552599_at","PXT1","peroxisomal testis enriched protein 1"
"1552602_at","CACNG5","calcium voltage-gated channel auxiliary subunit gamma 5"
"1552604_at","LINC00308","long intergenic non-protein coding RNA 308"
"1552607_at","FAM223B","family with sequence similarity 223 member B"
"1552607_at","FAM223A","family with sequence similarity 223 member A"
"1552608_at","WFDC11","WAP four-disulfide core domain 11"
"1552609_s_at","IFNL3","interferon lambda 3"
"1552609_s_at","IFNL2","interferon lambda 2"
"1552610_a_at","JAK1","Janus kinase 1"
"1552612_at","CDC42SE2","CDC42 small effector 2"
"1552615_at","ACACB","acetyl-CoA carboxylase beta"
"1552617_a_at","COP1","COP1 E3 ubiquitin ligase"
"1552618_at","STX6","syntaxin 6"
"1552619_a_at","ANLN","anillin, actin binding protein"
"1552620_at","SPRR4","small proline rich protein 4"
"1552621_at","POLR2J2","RNA polymerase II subunit J2"
"1552621_at","POLR2J3","RNA polymerase II subunit J3"
"1552622_s_at","PMS2P5","PMS1 homolog 2, mismatch repair system component pseudogene 5"
"1552622_s_at","PMS2P13","PMS1 homolog 2, mismatch repair system component pseudogene 13"
"1552623_at","HSH2D","hematopoietic SH2 domain containing"
"1552625_a_at","TRNT1","tRNA nucleotidyl transferase 1"
"1552626_a_at","TMEM163","transmembrane protein 163"
"1552627_a_at","ARHGAP5","Rho GTPase activating protein 5"
"1552628_a_at","HERPUD2","HERPUD family member 2"
"1552629_a_at","JMJD6","jumonji domain containing 6, arginine demethylase and lysine hydroxylase"
"1552630_a_at","SRCAP","Snf2 related CREBBP activator protein"
"1552631_a_at","MAP3K6","mitogen-activated protein kinase kinase kinase 6"
"1552632_a_at","ARSG","arylsulfatase G"
"1552633_at","ZNF101","zinc finger protein 101"
"1552637_at","PTPN11","protein tyrosine phosphatase non-receptor type 11"
"1552639_at","KLHDC7B","kelch domain containing 7B"
"1552641_s_at","ATAD3B","ATPase family AAA domain containing 3B"
"1552641_s_at","ATAD3A","ATPase family AAA domain containing 3A"
"1552643_at","ZNF626","zinc finger protein 626"
"1552644_a_at","PHC3","polyhomeotic homolog 3"
"1552646_at","IL11RA","interleukin 11 receptor subunit alpha"
"1552648_a_at","TNFRSF10A","TNF receptor superfamily member 10a"
"1552649_a_at","RFFL","ring finger and FYVE like domain containing E3 ubiquitin protein ligase"
"1552649_a_at","RAD51L3-RFFL","RAD51L3-RFFL readthrough"
"1552652_at","HPS4","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2"
"1552656_s_at","UHMK1","U2AF homology motif kinase 1"
"1552657_a_at","TXNDC2","thioredoxin domain containing 2"
"1552658_a_at","NAV3","neuron navigator 3"
"1552660_a_at","C5orf22","chromosome 5 open reading frame 22"
"1552661_at","PCDHGB7","protocadherin gamma subfamily B, 7"
"1552663_a_at","ERC1","ELKS/RAB6-interacting/CAST family member 1"
"1552664_at","FLCN","folliculin"
"1552665_at","JMJD1C-AS1","JMJD1C antisense RNA 1"
"1552666_a_at","LRRC7","leucine rich repeat containing 7"
"1552667_a_at","SH2D3C","SH2 domain containing 3C"
"1552669_at","PPP1R3B","protein phosphatase 1 regulatory subunit 3B"
"1552671_a_at","SLC9A7","solute carrier family 9 member A7"
"1552672_a_at","IGSF3","immunoglobulin superfamily member 3"
"1552673_at","RFX6","regulatory factor X6"
"1552674_at","DIRC1","disrupted in renal carcinoma 1"
"1552675_at","DNAJB7","DnaJ heat shock protein family (Hsp40) member B7"
"1552676_at","UCN3","urocortin 3"
"1552677_a_at","DIP2A","disco interacting protein 2 homolog A"
"1552678_a_at","USP28","ubiquitin specific peptidase 28"
"1552680_a_at","KNL1","kinetochore scaffold 1"
"1552684_a_at","SENP8","SUMO peptidase family member, NEDD8 specific"
"1552685_a_at","GRHL1","grainyhead like transcription factor 1"
"1552686_at","CNBD2","cyclic nucleotide binding domain containing 2"
"1552689_at","CASKIN1","CASK interacting protein 1"
"1552690_a_at","CACNA2D4","calcium voltage-gated channel auxiliary subunit alpha2delta 4"
"1552691_at","ARL11","ARF like GTPase 11"
"1552694_at","SLC2A13","solute carrier family 2 member 13"
"1552696_at","NIPA1","NIPA magnesium transporter 1"
"1552698_at","TUBA3FP","tubulin alpha 3f pseudogene"
"1552701_a_at","CARD16","caspase recruitment domain family member 16"
"1552703_s_at","CASP1","caspase 1"
"1552705_at","DUSP19","dual specificity phosphatase 19"
"1552711_a_at","CYB5D1","cytochrome b5 domain containing 1"
"1552712_a_at","NMNAT2","nicotinamide nucleotide adenylyltransferase 2"
"1552713_a_at","SLC4A1","solute carrier family 4 member 1 (Diego blood group)"
"1552714_at","CREG2","cellular repressor of E1A stimulated genes 2"
"1552715_a_at","RXFP1","relaxin family peptide receptor 1"
"1552716_at","SPEF2","sperm flagellar 2"
"1552717_s_at","CEP170P1","centrosomal protein 170 pseudogene 1"
"1552717_s_at","CEP170","centrosomal protein 170"
"1552718_at","DTD1","D-aminoacyl-tRNA deacylase 1"
"1552719_at","GOLM2","golgi membrane protein 2"
"1552721_a_at","FGF1","fibroblast growth factor 1"
"1552722_at","ARPP21","cAMP regulated phosphoprotein 21"
"1552724_at","RHOXF1","Rhox homeobox family member 1"
"1552725_s_at","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"1552729_at","SNHG7","small nucleolar RNA host gene 7"
"1552730_at","DHH","desert hedgehog signaling molecule"
"1552731_at","ABRA","actin binding Rho activating protein"
"1552733_at","KLHDC1","kelch domain containing 1"
"1552734_at","RICTOR","RPTOR independent companion of MTOR complex 2"
"1552735_at","PCDHGA4","protocadherin gamma subfamily A, 4"
"1552736_a_at","NETO1","neuropilin and tolloid like 1"
"1552737_s_at","WWP2","WW domain containing E3 ubiquitin protein ligase 2"
"1552738_a_at","ST7L","suppression of tumorigenicity 7 like"
"1552740_at","C2orf15","chromosome 2 open reading frame 15"
"1552742_at","KCNH8","potassium voltage-gated channel subfamily H member 8"
"1552743_at","MCF2L","MCF.2 cell line derived transforming sequence like"
"1552745_at","SLCO6A1","solute carrier organic anion transporter family member 6A1"
"1552747_a_at","PP2D1","protein phosphatase 2C like domain containing 1"
"1552749_a_at","KLC3","kinesin light chain 3"
"1552750_at","CIB3","calcium and integrin binding family member 3"
"1552752_a_at","CADM2","cell adhesion molecule 2"
"1552755_at","DOCK8-AS1","DOCK8 antisense RNA 1"
"1552758_at","HDAC9","histone deacetylase 9"
"1552761_at","SLC16A11","solute carrier family 16 member 11"
"1552763_at","TMEM67","transmembrane protein 67"
"1552766_at","HS6ST2","heparan sulfate 6-O-sulfotransferase 2"
"1552768_at","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1"
"1552769_at","ZNF625","zinc finger protein 625"
"1552770_s_at","ZNF563","zinc finger protein 563"
"1552771_a_at","LIN9","lin-9 DREAM MuvB core complex component"
"1552772_at","CLEC4D","C-type lectin domain family 4 member D"
"1552774_a_at","SLC25A27","solute carrier family 25 member 27"
"1552775_at","GPRC6A","G protein-coupled receptor class C group 6 member A"
"1552777_a_at","RAET1E","retinoic acid early transcript 1E"
"1552779_a_at","SLC44A5","solute carrier family 44 member 5"
"1552783_at","ZNF417","zinc finger protein 417"
"1552785_at","ZNF781","zinc finger protein 781"
"1552787_at","HELB","DNA helicase B"
"1552789_at","SEC62","SEC62 homolog, preprotein translocation factor"
"1552791_a_at","TRDN","triadin"
"1552792_at","SOCS4","suppressor of cytokine signaling 4"
"1552793_at","LY6S-AS1","LY6S antisense RNA 1"
"1552794_a_at","ZNF547","zinc finger protein 547"
"1552796_a_at","SIM1","SIM bHLH transcription factor 1"
"1552797_s_at","PROM2","prominin 2"
"1552798_a_at","TLR4","toll like receptor 4"
"1552799_at","TSNARE1","t-SNARE domain containing 1"
"1552801_at","CAPN13","calpain 13"
"1552803_a_at","STMN1","stathmin 1"
"1552806_a_at","SIGLEC10","sialic acid binding Ig like lectin 10"
"1552809_at","RFX4","regulatory factor X4"
"1552811_at","WFIKKN1","WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
"1552812_a_at","SENP1","SUMO specific peptidase 1"
"1552813_at","KLF14","KLF transcription factor 14"
"1552816_at","NXNL2","nucleoredoxin like 2"
"1552818_a_at","BRS3","bombesin receptor subtype 3"
"1552822_at","TMX3","thioredoxin related transmembrane protein 3"
"1552825_at","ZNF396","zinc finger protein 396"
"1552826_at","SLC26A7","solute carrier family 26 member 7"
"1552828_at","SNX18","sorting nexin 18"
"1552830_at","FBXO39","F-box protein 39"
"1552833_at","B3GNT6","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
"1552835_at","DENND1B","DENN domain containing 1B"
"1552836_at","ZNF619","zinc finger protein 619"
"1552837_at","CILK1","ciliogenesis associated kinase 1"
"1552839_at","GARIN2","golgi associated RAB2 interactor family member 2"
"1552841_s_at","BCL2L14","BCL2 like 14"
"1552842_at","HS6ST3","heparan sulfate 6-O-sulfotransferase 3"
"1552843_at","SLC26A1","solute carrier family 26 member 1"
"1552845_at","CLDN15","claudin 15"
"1552846_s_at","RAB42","RAB42, member RAS oncogene family"
"1552848_a_at","PTCHD1","patched domain containing 1"
"1552849_at","M1AP","meiosis 1 associated protein"
"1552851_at","ZSCAN4","zinc finger and SCAN domain containing 4"
"1552853_at","VWA5B1","von Willebrand factor A domain containing 5B1"
"1552856_at","LINC00311","long intergenic non-protein coding RNA 311"
"1552857_a_at","HTR6","5-hydroxytryptamine receptor 6"
"1552858_at","MAGEB6","MAGE family member B6"
"1552860_at","ELOA3P","elongin A3, pseudogene"
"1552860_at","ELOA3BP","elongin A3 family member B, pseudogene"
"1552860_at","ELOA3DP","elongin A3 family member D, pseudogene"
"1552862_at","RUSC1-AS1","RUSC1 antisense RNA 1"
"1552863_a_at","CACNG6","calcium voltage-gated channel auxiliary subunit gamma 6"
"1552865_a_at","LMNTD1","lamin tail domain containing 1"
"1552868_at","CIRBP-AS1","CIRBP antisense RNA 1"
"1552870_s_at","AXDND1","axonemal dynein light chain domain containing 1"
"1552872_at","ASMTL-AS1","ASMTL antisense RNA 1"
"1552875_a_at","CD200R1","CD200 receptor 1"
"1552876_at","LINC00334","long intergenic non-protein coding RNA 334"
"1552878_at","ATOH7","atonal bHLH transcription factor 7"
"1552880_at","SEC16B","SEC16 homolog B, endoplasmic reticulum export factor"
"1552882_a_at","AMER1","APC membrane recruitment protein 1"
"1552884_at","NKX6-3","NK6 homeobox 3"
"1552887_at","TBATA","thymus, brain and testes associated"
"1552889_a_at","EXOC3L2","exocyst complex component 3 like 2"
"1552890_a_at","CABP4","calcium binding protein 4"
"1552892_at","TNFRSF13C","TNF receptor superfamily member 13C"
"1552893_at","CAMK2N2","calcium/calmodulin dependent protein kinase II inhibitor 2"
"1552895_a_at","ANKRD30BP2","ankyrin repeat domain 30B pseudogene 2"
"1552897_a_at","KCNG3","potassium voltage-gated channel modifier subfamily G member 3"
"1552899_at","LINC01312","long intergenic non-protein coding RNA 1312"
"1552902_a_at","FOXP2","forkhead box P2"
"1552903_at","B4GALNT2","beta-1,4-N-acetyl-galactosaminyltransferase 2 (SID blood group)"
"1552906_at","FMR1NB","FMR1 neighbor"
"1552908_at","GCSAML","germinal center associated signaling and motility like"
"1552910_at","SIGLEC11","sialic acid binding Ig like lectin 11"
"1552912_a_at","IL23R","interleukin 23 receptor"
"1552913_at","MAGEB18","MAGE family member B18"
"1552914_a_at","CD276","CD276 molecule"
"1552917_at","IFNL1","interferon lambda 1"
"1552919_at","C4orf36","chromosome 4 open reading frame 36"
"1552921_a_at","FIGNL1","fidgetin like 1"
"1552922_at","RIMS1","regulating synaptic membrane exocytosis 1"
"1552923_a_at","PITPNM2","phosphatidylinositol transfer protein membrane associated 2"
"1552925_at","PCDH10","protocadherin 10"
"1552927_at","TAB3","TGF-beta activated kinase 1 (MAP3K7) binding protein 3"
"1552929_at","GRK7","G protein-coupled receptor kinase 7"
"1552930_at","MMEL1","membrane metalloendopeptidase like 1"
"1552931_a_at","PDE8A","phosphodiesterase 8A"
"1552932_at","NLRP6","NLR family pyrin domain containing 6"
"1552933_at","AKNAD1","AKNA domain containing 1"
"1552935_at","RTL3","retrotransposon Gag like 3"
"1552937_s_at","ATRIP","ATR interacting protein"
"1552938_at","ZIC5","Zic family member 5"
"1552939_at","ANGPT1","angiopoietin 1"
"1552940_at","TEDDM1","transmembrane epididymal protein 1"
"1552942_at","TRIM67-AS1","TRIM67 antisense RNA 1"
"1552943_at","GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1"
"1552944_a_at","PANX2","pannexin 2"
"1552946_at","ZNF114","zinc finger protein 114"
"1552948_at","CCDC27","coiled-coil domain containing 27"
"1552950_at","CFAP161","cilia and flagella associated protein 161"
"1552952_at","RBMY2FP","RNA binding motif protein Y-linked family 2 member F, pseudogene"
"1552953_a_at","NEUROD2","neuronal differentiation 2"
"1552954_at","LINC02899","long intergenic non-protein coding RNA 2899"
"1552955_at","LINC00208","long intergenic non-protein coding RNA 208"
"1552957_at","DNAH6","dynein axonemal heavy chain 6"
"1552960_at","LRRC15","leucine rich repeat containing 15"
"1552964_at","CFAP46","cilia and flagella associated protein 46"
"1552965_a_at","B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
"1552967_at","CBLL2","Cbl proto-oncogene like 2"
"1552969_a_at","ZMYM6","zinc finger MYM-type containing 6"
"1552971_at","SGCZ","sarcoglycan zeta"
"1552972_at","LINC02551","long intergenic non-protein coding RNA 2551"
"1552973_at","WNT9B","Wnt family member 9B"
"1552976_at","DNAJB13","DnaJ heat shock protein family (Hsp40) member B13"
"1552977_a_at","CNPY3","canopy FGF signaling regulator 3"
"1552978_a_at","SCAMP1","secretory carrier membrane protein 1"
"1552979_at","LINC00471","long intergenic non-protein coding RNA 471"
"1552980_at","HAS3","hyaluronan synthase 3"
"1552982_a_at","FGF4","fibroblast growth factor 4"
"1552985_at","SLC30A8","solute carrier family 30 member 8"
"1552987_a_at","LOC439933","uncharacterized LOC439933"
"1552988_at","C11orf65","chromosome 11 open reading frame 65"
"1552990_at","GARIN5B","golgi associated RAB2 interactor family member 5B"
"1552991_at","OR5P2","olfactory receptor family 5 subfamily P member 2"
"1552993_at","DYDC1","DPY30 domain containing 1"
"1552995_at","IL27","interleukin 27"
"1552997_a_at","IQCF1","IQ motif containing F1"
"1552998_at","DEFB125","defensin beta 125"
"1552999_a_at","WFDC10B","WAP four-disulfide core domain 10B"
"1553002_at","DEFB105A","defensin beta 105A"
"1553002_at","DEFB105B","defensin beta 105B"
"1553003_at","PKHD1","PKHD1 ciliary IPT domain containing fibrocystin/polyductin"
"1553004_at","PKD1L1","polycystin 1 like 1, transient receptor potential channel interacting"
"1553006_at","ADGRG4","adhesion G protein-coupled receptor G4"
"1553007_a_at","TENM1","teneurin transmembrane protein 1"
"1553009_s_at","REXO1L1P","REXO1 like 1, pseudogene"
"1553011_at","TAF1L","TATA-box binding protein associated factor 1 like"
"1553011_at","TAF1","TATA-box binding protein associated factor 1"
"1553013_at","CNTNAP5","contactin associated protein family member 5"
"1553015_a_at","RECQL4","RecQ like helicase 4"
"1553016_at","ADGRF3","adhesion G protein-coupled receptor F3"
"1553019_at","TMC2","transmembrane channel like 2"
"1553020_at","SMCR5","Smith-Magenis syndrome chromosome region, candidate 5"
"1553021_s_at","BICD2","BICD cargo adaptor 2"
"1553022_at","ZIM3","zinc finger imprinted 3"
"1553023_a_at","NOX5","NADPH oxidase 5"
"1553024_at","DAOA-AS1","DAOA antisense RNA 1"
"1553025_at","ADGRG6","adhesion G protein-coupled receptor G6"
"1553027_a_at","KLHL4","kelch like family member 4"
"1553028_at","GPR156","G protein-coupled receptor 156"
"1553030_a_at","SUOX","sulfite oxidase"
"1553031_at","ADGRF4","adhesion G protein-coupled receptor F4"
"1553032_at","IL31RA","interleukin 31 receptor A"
"1553033_at","SYTL5","synaptotagmin like 5"
"1553034_at","SDCCAG8","SHH signaling and ciliogenesis regulator SDCCAG8"
"1553036_at","ADGRF2P","adhesion G protein-coupled receptor F2, pseudogene"
"1553037_a_at","SYN2","synapsin II"
