"PROBEID","SYMBOL","GENENAME"
"200052_s_at","ILF2","interleukin enhancer binding factor 2"
"200053_at","SPAG7","sperm associated antigen 7"
"200054_at","ZPR1","ZPR1 zinc finger"
"200055_at","TAF10","TATA-box binding protein associated factor 10"
"200056_s_at","C1D","C1D nuclear receptor corepressor"
"200057_s_at","NONO","non-POU domain containing octamer binding"
"200058_s_at","SNRNP200","small nuclear ribonucleoprotein U5 subunit 200"
"200059_s_at","RHOA","ras homolog family member A"
"200060_s_at","RNPS1","RNA binding protein with serine rich domain 1"
"200061_s_at","RPS24","ribosomal protein S24"
"200062_s_at","RPL30","ribosomal protein L30"
"200063_s_at","NPM1","nucleophosmin 1"
"200064_at","HSP90AB1","heat shock protein 90 alpha family class B member 1"
"200065_s_at","ARF1","ARF GTPase 1"
"200066_at","IK","IK cytokine"
"200067_x_at","SNX3","sorting nexin 3"
"200068_s_at","CANX","calnexin"
"200069_at","SART3","spliceosome associated factor 3, U4/U6 recycling protein"
"200070_at","CNPPD1","cyclin Pas1/PHO80 domain containing 1"
"200071_at","SMNDC1","survival motor neuron domain containing 1"
"200072_s_at","HNRNPM","heterogeneous nuclear ribonucleoprotein M"
"200073_s_at","HNRNPD","heterogeneous nuclear ribonucleoprotein D"
"200074_s_at","RPL14","ribosomal protein L14"
"200075_s_at","GUK1","guanylate kinase 1"
"200076_s_at","KXD1","KxDL motif containing 1"
"200077_s_at","OAZ1","ornithine decarboxylase antizyme 1"
"200078_s_at","ATP6V0B","ATPase H+ transporting V0 subunit b"
"200079_s_at","KARS1","lysyl-tRNA synthetase 1"
"200080_s_at","H3-3A","H3.3 histone A"
"200080_s_at","H3P6","H3 histone pseudogene 6"
"200081_s_at","RPS6","ribosomal protein S6"
"200082_s_at","RPS7","ribosomal protein S7"
"200083_at","USP22","ubiquitin specific peptidase 22"
"200084_at","C11orf58","chromosome 11 open reading frame 58"
"200085_s_at","ELOB","elongin B"
"200086_s_at","COX4I1","cytochrome c oxidase subunit 4I1"
"200087_s_at","TMED2","transmembrane p24 trafficking protein 2"
"200088_x_at","RPL12","ribosomal protein L12"
"200088_x_at","NBEAL1","neurobeachin like 1"
"200089_s_at","RPL4","ribosomal protein L4"
"200090_at","FNTA","farnesyltransferase, CAAX box, subunit alpha"
"200091_s_at","RPS25","ribosomal protein S25"
"200092_s_at","RPL37","ribosomal protein L37"
"200093_s_at","HINT1","histidine triad nucleotide binding protein 1"
"200094_s_at","EEF2","eukaryotic translation elongation factor 2"
"200095_x_at","RPS10","ribosomal protein S10"
"200095_x_at","RPS10P19","ribosomal protein S10 pseudogene 19"
"200095_x_at","RPS10-NUDT3","RPS10-NUDT3 readthrough"
"200096_s_at","ATP6V0E1","ATPase H+ transporting V0 subunit e1"
"200097_s_at","HNRNPK","heterogeneous nuclear ribonucleoprotein K"
"200098_s_at","ANAPC5","anaphase promoting complex subunit 5"
"200099_s_at","RPS3A","ribosomal protein S3A"
"200593_s_at","HNRNPU","heterogeneous nuclear ribonucleoprotein U"
"200595_s_at","EIF3A","eukaryotic translation initiation factor 3 subunit A"
"200598_s_at","HSP90B1","heat shock protein 90 beta family member 1"
"200600_at","MSN","moesin"
"200601_at","ACTN4","actinin alpha 4"
"200602_at","APP","amyloid beta precursor protein"
"200603_at","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha"
"200606_at","DSP","desmoplakin"
"200607_s_at","RAD21","RAD21 cohesin complex component"
"200609_s_at","WDR1","WD repeat domain 1"
"200610_s_at","NCL","nucleolin"
"200612_s_at","AP2B1","adaptor related protein complex 2 subunit beta 1"
"200613_at","AP2M1","adaptor related protein complex 2 subunit mu 1"
"200614_at","CLTC","clathrin heavy chain"
"200616_s_at","MLEC","malectin"
"200618_at","LASP1","LIM and SH3 protein 1"
"200619_at","SF3B2","splicing factor 3b subunit 2"
"200620_at","TMEM59","transmembrane protein 59"
"200621_at","CSRP1","cysteine and glycine rich protein 1"
"200622_x_at","CALM2","calmodulin 2"
"200622_x_at","CALM3","calmodulin 3"
"200624_s_at","MATR3","matrin 3"
"200625_s_at","CAP1","cyclase associated actin cytoskeleton regulatory protein 1"
"200627_at","PTGES3","prostaglandin E synthase 3"
"200628_s_at","WARS1","tryptophanyl-tRNA synthetase 1"
"200630_x_at","SET","SET nuclear proto-oncogene"
"200632_s_at","NDRG1","N-myc downstream regulated 1"
"200633_at","UBB","ubiquitin B"
"200634_at","PFN1","profilin 1"
"200635_s_at","PTPRF","protein tyrosine phosphatase receptor type F"
"200638_s_at","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"200642_at","SOD1","superoxide dismutase 1"
"200643_at","HDLBP","high density lipoprotein binding protein"
"200644_at","MARCKSL1","MARCKS like 1"
"200645_at","GABARAP","GABA type A receptor-associated protein"
"200646_s_at","NUCB1","nucleobindin 1"
"200647_x_at","EIF3C","eukaryotic translation initiation factor 3 subunit C"
"200647_x_at","EIF3CL","eukaryotic translation initiation factor 3 subunit C like"
"200648_s_at","GLUL","glutamate-ammonia ligase"
"200650_s_at","LDHA","lactate dehydrogenase A"
"200651_at","RACK1","receptor for activated C kinase 1"
"200652_at","SSR2","signal sequence receptor subunit 2"
"200653_s_at","CALM1","calmodulin 1"
"200654_at","P4HB","prolyl 4-hydroxylase subunit beta"
"200657_at","SLC25A5","solute carrier family 25 member 5"
"200658_s_at","PHB1","prohibitin 1"
"200660_at","S100A11","S100 calcium binding protein A11"
"200661_at","CTSA","cathepsin A"
"200662_s_at","TOMM20","translocase of outer mitochondrial membrane 20"
"200663_at","CD63","CD63 molecule"
"200664_s_at","DNAJB1","DnaJ heat shock protein family (Hsp40) member B1"
"200665_s_at","SPARC","secreted protein acidic and cysteine rich"
"200667_at","UBE2D3","ubiquitin conjugating enzyme E2 D3"
"200670_at","XBP1","X-box binding protein 1"
"200671_s_at","SPTBN1","spectrin beta, non-erythrocytic 1"
"200673_at","LAPTM4A","lysosomal protein transmembrane 4 alpha"
"200674_s_at","RPL32","ribosomal protein L32"
"200675_at","CD81","CD81 molecule"
"200676_s_at","UBE2L3","ubiquitin conjugating enzyme E2 L3"
"200677_at","PTTG1IP","PTTG1 interacting protein"
"200678_x_at","GRN","granulin precursor"
"200679_x_at","HMGB1","high mobility group box 1"
"200681_at","GLO1","glyoxalase I"
"200685_at","SRSF11","serine and arginine rich splicing factor 11"
"200687_s_at","SF3B3","splicing factor 3b subunit 3"
"200689_x_at","EEF1G","eukaryotic translation elongation factor 1 gamma"
"200690_at","HSPA9","heat shock protein family A (Hsp70) member 9"
"200693_at","YWHAQ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta"
"200694_s_at","DDX24","DEAD-box helicase 24"
"200695_at","PPP2R1A","protein phosphatase 2 scaffold subunit Aalpha"
"200696_s_at","GSN","gelsolin"
"200697_at","HK1","hexokinase 1"
"200698_at","KDELR2","KDEL endoplasmic reticulum protein retention receptor 2"
"200701_at","NPC2","NPC intracellular cholesterol transporter 2"
"200703_at","DYNLL1","dynein light chain LC8-type 1"
"200704_at","LITAF","lipopolysaccharide induced TNF factor"
"200705_s_at","EEF1B2","eukaryotic translation elongation factor 1 beta 2"
"200707_at","PRKCSH","PRKCSH beta subunit of glucosidase II"
"200708_at","GOT2","glutamic-oxaloacetic transaminase 2"
"200709_at","FKBP1A","FKBP prolyl isomerase 1A"
"200710_at","ACADVL","acyl-CoA dehydrogenase very long chain"
"200711_s_at","SKP1","S-phase kinase associated protein 1"
"200712_s_at","MAPRE1","microtubule associated protein RP/EB family member 1"
"200714_x_at","OS9","OS9 endoplasmic reticulum lectin"
"200715_x_at","RPL13A","ribosomal protein L13a"
"200717_x_at","RPL7","ribosomal protein L7"
"200720_s_at","ACTR1A","actin related protein 1A"
"200722_s_at","CAPRIN1","cell cycle associated protein 1"
"200724_at","RPL10","ribosomal protein L10"
"200726_at","PPP1CC","protein phosphatase 1 catalytic subunit gamma"
"200727_s_at","ACTR2","actin related protein 2"
"200730_s_at","PTP4A1","protein tyrosine phosphatase 4A1"
"200735_x_at","NACA","nascent polypeptide associated complex subunit alpha"
"200736_s_at","GPX1","glutathione peroxidase 1"
"200737_at","PGK1","phosphoglycerate kinase 1"
"200739_s_at","SUMO3","small ubiquitin like modifier 3"
"200741_s_at","RPS27","ribosomal protein S27"
"200742_s_at","TPP1","tripeptidyl peptidase 1"
"200744_s_at","GNB1","G protein subunit beta 1"
"200747_s_at","NUMA1","nuclear mitotic apparatus protein 1"
"200748_s_at","FTH1","ferritin heavy chain 1"
"200749_at","RAN","RAN, member RAS oncogene family"
"200752_s_at","CAPN1","calpain 1"
"200753_x_at","SRSF2","serine and arginine rich splicing factor 2"
"200755_s_at","CALU","calumenin"
"200758_s_at","NFE2L1","NFE2 like bZIP transcription factor 1"
"200760_s_at","ARL6IP5","ARF like GTPase 6 interacting protein 5"
"200762_at","DPYSL2","dihydropyrimidinase like 2"
"200763_s_at","RPLP1","ribosomal protein lateral stalk subunit P1"
"200764_s_at","CTNNA1","catenin alpha 1"
"200766_at","CTSD","cathepsin D"
"200767_s_at","FAM120A","family with sequence similarity 120 member A"
"200768_s_at","MAT2A","methionine adenosyltransferase 2A"
"200770_s_at","LAMC1","laminin subunit gamma 1"
"200772_x_at","PTMA","prothymosin alpha"
"200776_s_at","BZW1","basic leucine zipper and W2 domains 1"
"200779_at","ATF4","activating transcription factor 4"
"200780_x_at","GNAS","GNAS complex locus"
"200781_s_at","RPS15A","ribosomal protein S15a"
"200782_at","ANXA5","annexin A5"
"200783_s_at","STMN1","stathmin 1"
"200784_s_at","LRP1","LDL receptor related protein 1"
"200786_at","PSMB7","proteasome 20S subunit beta 7"
"200787_s_at","PEA15","proliferation and apoptosis adaptor protein 15"
"200789_at","ECH1","enoyl-CoA hydratase 1"
"200790_at","ODC1","ornithine decarboxylase 1"
"200791_s_at","IQGAP1","IQ motif containing GTPase activating protein 1"
"200792_at","XRCC6","X-ray repair cross complementing 6"
"200793_s_at","ACO2","aconitase 2"
"200794_x_at","DAZAP2","DAZ associated protein 2"
"200795_at","SPARCL1","SPARC like 1"
"200796_s_at","MCL1","MCL1 apoptosis regulator, BCL2 family member"
"200799_at","HSPA1A","heat shock protein family A (Hsp70) member 1A"
"200799_at","HSPA1B","heat shock protein family A (Hsp70) member 1B"
"200801_x_at","ACTB","actin beta"
"200802_at","SARS1","seryl-tRNA synthetase 1"
"200803_s_at","TMBIM6","transmembrane BAX inhibitor motif containing 6"
"200805_at","LMAN2","lectin, mannose binding 2"
"200806_s_at","HSPD1","heat shock protein family D (Hsp60) member 1"
"200808_s_at","ZYX","zyxin"
"200810_s_at","CIRBP","cold inducible RNA binding protein"
"200812_at","CCT7","chaperonin containing TCP1 subunit 7"
"200813_s_at","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1"
"200814_at","PSME1","proteasome activator subunit 1"
"200818_at","ATP5PO","ATP synthase peripheral stalk subunit OSCP"
"200819_s_at","RPS15","ribosomal protein S15"
"200820_at","PSMD8","proteasome 26S subunit, non-ATPase 8"
"200821_at","LAMP2","lysosomal associated membrane protein 2"
"200822_x_at","TPI1","triosephosphate isomerase 1"
"200823_x_at","RPL29","ribosomal protein L29"
"200824_at","GSTP1","glutathione S-transferase pi 1"
"200825_s_at","HYOU1","hypoxia up-regulated 1"
"200826_at","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide"
"200827_at","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
"200828_s_at","ZNF207","zinc finger protein 207"
"200830_at","PSMD2","proteasome 26S subunit ubiquitin receptor, non-ATPase 2"
"200831_s_at","SCD","stearoyl-CoA desaturase"
"200833_s_at","RAP1B","RAP1B, member of RAS oncogene family"
"200834_s_at","RPS21","ribosomal protein S21"
"200835_s_at","MAP4","microtubule associated protein 4"
"200837_at","BCAP31","B cell receptor associated protein 31"
"200838_at","CTSB","cathepsin B"
"200841_s_at","EPRS1","glutamyl-prolyl-tRNA synthetase 1"
"200844_s_at","PRDX6","peroxiredoxin 6"
"200846_s_at","PPP1CA","protein phosphatase 1 catalytic subunit alpha"
"200847_s_at","SARAF","store-operated calcium entry associated regulatory factor"
"200848_at","AHCYL1","adenosylhomocysteinase like 1"
"200851_s_at","IST1","IST1 factor associated with ESCRT-III"
"200852_x_at","GNB2","G protein subunit beta 2"
"200853_at","H2AZ1","H2A.Z variant histone 1"
"200854_at","NCOR1","nuclear receptor corepressor 1"
"200858_s_at","RPS8","ribosomal protein S8"
"200859_x_at","FLNA","filamin A"
"200860_s_at","CNOT1","CCR4-NOT transcription complex subunit 1"
"200862_at","DHCR24","24-dehydrocholesterol reductase"
"200863_s_at","RAB11A","RAB11A, member RAS oncogene family"
"200866_s_at","PSAP","prosaposin"
"200867_at","RNF114","ring finger protein 114"
"200869_at","RPL18A","ribosomal protein L18a"
"200870_at","STRAP","serine/threonine kinase receptor associated protein"
"200872_at","S100A10","S100 calcium binding protein A10"
"200873_s_at","CCT8","chaperonin containing TCP1 subunit 8"
"200874_s_at","NOP56","NOP56 ribonucleoprotein"
"200876_s_at","PSMB1","proteasome 20S subunit beta 1"
"200877_at","CCT4","chaperonin containing TCP1 subunit 4"
"200878_at","EPAS1","endothelial PAS domain protein 1"
"200880_at","DNAJA1","DnaJ heat shock protein family (Hsp40) member A1"
"200882_s_at","PSMD4","proteasome 26S subunit ubiquitin receptor, non-ATPase 4"
"200883_at","UQCRC2","ubiquinol-cytochrome c reductase core protein 2"
"200884_at","CKB","creatine kinase B"
"200885_at","PPM1J","protein phosphatase, Mg2+/Mn2+ dependent 1J"
"200885_at","RHOC","ras homolog family member C"
"200886_s_at","PGAM1","phosphoglycerate mutase 1"
"200887_s_at","STAT1","signal transducer and activator of transcription 1"
"200888_s_at","RPL23","ribosomal protein L23"
"200889_s_at","SSR1","signal sequence receptor subunit 1"
"200892_s_at","TRA2B","transformer 2 beta homolog"
"200894_s_at","FKBP4","FKBP prolyl isomerase 4"
"200896_x_at","HDGF","heparin binding growth factor"
"200897_s_at","PALLD","palladin, cytoskeletal associated protein"
"200898_s_at","OGA","O-GlcNAcase"
"200900_s_at","M6PR","mannose-6-phosphate receptor, cation dependent"
"200902_at","SELENOF","selenoprotein F"
"200903_s_at","AHCY","adenosylhomocysteinase"
"200904_at","HLA-E","major histocompatibility complex, class I, E"
"200908_s_at","RPLP2","ribosomal protein lateral stalk subunit P2"
"200910_at","CCT3","chaperonin containing TCP1 subunit 3"
"200911_s_at","TACC1","transforming acidic coiled-coil containing protein 1"
"200912_s_at","EIF4A2","eukaryotic translation initiation factor 4A2"
"200913_at","PPM1G","protein phosphatase, Mg2+/Mn2+ dependent 1G"
"200914_x_at","KTN1","kinectin 1"
"200916_at","TAGLN2","transgelin 2"
"200917_s_at","SRPRA","SRP receptor subunit alpha"
"200919_at","PHC2","polyhomeotic homolog 2"
"200920_s_at","BTG1","BTG anti-proliferation factor 1"
"200922_at","KDELR1","KDEL endoplasmic reticulum protein retention receptor 1"
"200923_at","LGALS3BP","galectin 3 binding protein"
"200924_s_at","SLC3A2","solute carrier family 3 member 2"
"200925_at","COX6A1","cytochrome c oxidase subunit 6A1"
"200926_at","RPS23","ribosomal protein S23"
"200927_s_at","RAB14","RAB14, member RAS oncogene family"
"200929_at","TMED10","transmembrane p24 trafficking protein 10"
"200930_s_at","VCL","vinculin"
"200932_s_at","DCTN2","dynactin subunit 2"
"200933_x_at","RPS4X","ribosomal protein S4 X-linked"
"200934_at","DEK","DEK proto-oncogene"
"200935_at","CALR","calreticulin"
"200936_at","RPL8","ribosomal protein L8"
"200937_s_at","RPL5","ribosomal protein L5"
"200938_s_at","RERE","arginine-glutamic acid dipeptide repeats"
"200941_at","HSBP1","heat shock factor binding protein 1"
"200943_at","HMGN1","high mobility group nucleosome binding domain 1"
"200945_s_at","SEC31A","SEC31 homolog A, COPII coat complex component"
"200946_x_at","GLUD1","glutamate dehydrogenase 1"
"200948_at","MLF2","myeloid leukemia factor 2"
"200949_x_at","RPS20","ribosomal protein S20"
"200950_at","ARPC1A","actin related protein 2/3 complex subunit 1A"
"200951_s_at","CCND2","cyclin D2"
"200954_at","ATP6V0C","ATPase H+ transporting V0 subunit c"
"200955_at","IMMT","inner membrane mitochondrial protein"
"200956_s_at","SSRP1","structure specific recognition protein 1"
"200958_s_at","SDCBP","syndecan binding protein"
"200959_at","FUS","FUS RNA binding protein"
"200960_x_at","CLTA","clathrin light chain A"
"200961_at","SEPHS2","selenophosphate synthetase 2"
"200962_at","RPL31","ribosomal protein L31"
"200964_at","UBA1","ubiquitin like modifier activating enzyme 1"
"200965_s_at","ABLIM1","actin binding LIM protein 1"
"200966_x_at","ALDOA","aldolase, fructose-bisphosphate A"
"200967_at","PPIB","peptidylprolyl isomerase B"
"200969_at","SERP1","stress associated endoplasmic reticulum protein 1"
"200972_at","TSPAN3","tetraspanin 3"
"200974_at","ACTA2","actin alpha 2, smooth muscle"
"200975_at","PPT1","palmitoyl-protein thioesterase 1"
"200976_s_at","TAX1BP1","Tax1 binding protein 1"
"200978_at","MDH1","malate dehydrogenase 1"
"200979_at","PDHA1","pyruvate dehydrogenase E1 subunit alpha 1"
"200982_s_at","ANXA6","annexin A6"
"200983_x_at","CD59","CD59 molecule (CD59 blood group)"
"200986_at","SERPING1","serpin family G member 1"
"200987_x_at","PSME3","proteasome activator subunit 3"
"200989_at","HIF1A","hypoxia inducible factor 1 subunit alpha"
"200990_at","TRIM28","tripartite motif containing 28"
"200991_s_at","SNX17","sorting nexin 17"
"200992_at","IPO7","importin 7"
"200996_at","ACTR3","actin related protein 3"
"200997_at","RBM4","RNA binding motif protein 4"
"200997_at","RBM14-RBM4","RBM14-RBM4 readthrough"
"200998_s_at","CKAP4","cytoskeleton associated protein 4"
"201000_at","AARS1","alanyl-tRNA synthetase 1"
"201001_s_at","UBE2V1","ubiquitin conjugating enzyme E2 V1"
"201001_s_at","PEDS1-UBE2V1","PEDS1-UBE2V1 readthrough"
"201003_x_at","PEDS1","plasmanylethanolamine desaturase 1"
"201004_at","SSR4","signal sequence receptor subunit 4"
"201005_at","CD9","CD9 molecule"
"201006_at","PRDX2","peroxiredoxin 2"
"201007_at","HADHB","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"
"201008_s_at","TXNIP","thioredoxin interacting protein"
"201011_at","RPN1","ribophorin I"
"201012_at","ANXA1","annexin A1"
"201013_s_at","PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"201015_s_at","JUP","junction plakoglobin"
"201016_at","EIF1AX","eukaryotic translation initiation factor 1A X-linked"
"201020_at","YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta"
"201021_s_at","DSTN","destrin, actin depolymerizing factor"
"201023_at","TAF7","TATA-box binding protein associated factor 7"
"201024_x_at","EIF5B","eukaryotic translation initiation factor 5B"
"201028_s_at","CD99","CD99 molecule (Xg blood group)"
"201030_x_at","LDHB","lactate dehydrogenase B"
"201031_s_at","HNRNPH1","heterogeneous nuclear ribonucleoprotein H1"
"201032_at","BLCAP","BLCAP apoptosis inducing factor"
"201033_x_at","RPLP0","ribosomal protein lateral stalk subunit P0"
"201034_at","ADD3","adducin 3"
"201035_s_at","HADH","hydroxyacyl-CoA dehydrogenase"
"201037_at","PFKP","phosphofructokinase, platelet"
"201038_s_at","ANP32A","acidic nuclear phosphoprotein 32 family member A"
"201039_s_at","RAD23A","RAD23 homolog A, nucleotide excision repair protein"
"201040_at","GNAI2","G protein subunit alpha i2"
"201041_s_at","DUSP1","dual specificity phosphatase 1"
"201042_at","TGM2","transglutaminase 2"
"201045_s_at","RAB6A","RAB6A, member RAS oncogene family"
"201049_s_at","RPS18","ribosomal protein S18"
"201050_at","PLD3","phospholipase D family member 3"
"201052_s_at","PSMF1","proteasome inhibitor subunit 1"
"201054_at","HNRNPA0","heterogeneous nuclear ribonucleoprotein A0"
"201056_at","GOLGB1","golgin B1"
"201058_s_at","MYL9","myosin light chain 9"
"201059_at","CTTN","cortactin"
"201060_x_at","STOM","stomatin"
"201063_at","RCN1","reticulocalbin 1"
"201064_s_at","PABPC4","poly(A) binding protein cytoplasmic 4"
"201065_s_at","GTF2I","general transcription factor IIi"
"201065_s_at","GTF2IP1","general transcription factor IIi pseudogene 1"
"201065_s_at","GTF2IP4","general transcription factor IIi pseudogene 4"
"201066_at","CYC1","cytochrome c1"
"201067_at","PSMC2","proteasome 26S subunit, ATPase 2"
"201069_at","MMP2","matrix metallopeptidase 2"
"201070_x_at","SF3B1","splicing factor 3b subunit 1"
"201072_s_at","SMARCC1","SWI/SNF related BAF chromatin remodeling complex subunit C1"
"201076_at","SNU13","small nuclear ribonucleoprotein 13"
"201078_at","TM9SF2","transmembrane 9 superfamily member 2"
"201079_at","SYNGR2","synaptogyrin 2"
"201080_at","PIP4K2B","phosphatidylinositol-5-phosphate 4-kinase type 2 beta"
"201082_s_at","DCTN1","dynactin subunit 1"
"201083_s_at","BCLAF1","BCL2 associated transcription factor 1"
"201085_s_at","SON","SON DNA and RNA binding protein"
"201087_at","PXN","paxillin"
"201088_at","KPNA2","karyopherin subunit alpha 2"
"201089_at","ATP6V1B2","ATPase H+ transporting V1 subunit B2"
"201090_x_at","TUBA1B","tubulin alpha 1b"
"201092_at","RBBP7","RB binding protein 7, chromatin remodeling factor"
"201093_x_at","SDHA","succinate dehydrogenase complex flavoprotein subunit A"
"201094_at","RPS29","ribosomal protein S29"
"201095_at","DAP","death associated protein"
"201096_s_at","ARF4","ARF GTPase 4"
"201098_at","COPB2","COPI coat complex subunit beta 2"
"201099_at","USP9X","ubiquitin specific peptidase 9 X-linked"
"201102_s_at","PFKL","phosphofructokinase, liver type"
"201103_x_at","NBPF12","NBPF member 12"
"201103_x_at","NBPF11","NBPF member 11"
"201103_x_at","NBPF15","NBPF member 15"
"201103_x_at","NBPF9","NBPF member 9"
"201103_x_at","NBPF8","NBPF member 8"
"201103_x_at","NBPF10","NBPF member 10"
"201103_x_at","NBPF20","NBPF member 20"
"201103_x_at","NBPF19","NBPF member 19"
"201103_x_at","NBPF26","NBPF member 26"
"201104_x_at","NBPF14","NBPF member 14"
"201104_x_at","NBPF25P","NBPF member 25, pseudogene"
"201105_at","LGALS1","galectin 1"
"201106_at","GPX4","glutathione peroxidase 4"
"201107_s_at","THBS1","thrombospondin 1"
"201111_at","CSE1L","chromosome segregation 1 like"
"201113_at","TUFM","Tu translation elongation factor, mitochondrial"
"201114_x_at","PSMA7","proteasome 20S subunit alpha 7"
"201115_at","POLD2","DNA polymerase delta 2, accessory subunit"
"201116_s_at","CPE","carboxypeptidase E"
"201118_at","PGD","phosphogluconate dehydrogenase"
"201119_s_at","COX8A","cytochrome c oxidase subunit 8A"
"201120_s_at","PGRMC1","progesterone receptor membrane component 1"
"201122_x_at","EIF5A","eukaryotic translation initiation factor 5A"
"201124_at","ITGB5","integrin subunit beta 5"
"201126_s_at","MGAT1","alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
"201127_s_at","ACLY","ATP citrate lyase"
"201129_at","SRSF7","serine and arginine rich splicing factor 7"
"201130_s_at","CDH1","cadherin 1"
"201132_at","HNRNPH2","heterogeneous nuclear ribonucleoprotein H2"
